Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
quiz_s1scene1_sentence_strange_bfbe54c9_1	s	[wrong_answer]	game/quiz.rpy	179	s "[what]"
quiz_s1scene1_sentence_strange_71e8e196_2	s	[right_answer]	game/quiz.rpy	183	s "[what]"
quiz_s1scene1_sentence_strange_bfbe54c9_2	s	[wrong_answer]	game/quiz.rpy	185	s "[what]"
quiz_s1scene1_audio_announced_71e8e196	s	[right_answer]	game/quiz.rpy	197	s "[what]"
quiz_s1scene1_audio_announced_bfbe54c9	s	[wrong_answer]	game/quiz.rpy	199	s "[what]"
quiz_s1scene1_picture_wedding_8bedb366	s	Выбери слово, которое соответствует картинке.	game/quiz.rpy	210	s "[what]" nointeract
quiz_s1scene1_picture_wedding_71e8e196	s	[right_answer]	game/quiz.rpy	213	s "[what]"
quiz_s1scene1_picture_wedding_bfbe54c9	s	[wrong_answer]	game/quiz.rpy	215	s "[what]"
quiz_s1scene1_picture_wedding_71e8e196_1	s	[right_answer]	game/quiz.rpy	219	s "[what]"
quiz_s1scene1_picture_wedding_bfbe54c9_1	s	[wrong_answer]	game/quiz.rpy	221	s "[what]"
quiz_s1scene1_picture_wedding_71e8e196_2	s	[right_answer]	game/quiz.rpy	225	s "[what]"
quiz_s1scene1_picture_wedding_bfbe54c9_2	s	[wrong_answer]	game/quiz.rpy	227	s "[what]"
quiz_s1scene1_audio_married_b9e2e443	s	Послушай аудио и выбери соответствующее предложение	game/quiz.rpy	241	s "[what]" nointeract
quiz_s1scene1_audio_married_71e8e196	s	[right_answer]	game/quiz.rpy	245	s "[what]"
quiz_s1scene1_audio_married_bfbe54c9	s	[wrong_answer]	game/quiz.rpy	247	s "[what]"
quiz_s1scene1_audio_married_71e8e196_1	s	[right_answer]	game/quiz.rpy	251	s "[what]"
quiz_s1scene1_audio_married_bfbe54c9_1	s	[wrong_answer]	game/quiz.rpy	253	s "[what]"
quiz_s1scene1_audio_married_71e8e196_2	s	[right_answer]	game/quiz.rpy	257	s "[what]"
quiz_s1scene1_audio_married_bfbe54c9_2	s	[wrong_answer]	game/quiz.rpy	259	s "[what]"
s1scene0_ea49bd65	s	Good evening. I hope you managed to choose your native language, and now you understand what I'm saying.	game/tl/english/script.rpy	606	s "[what]"
s1scene0_c4aaa42b	s	I got a bit dirty here, got into a small accident. But more on that later.	game/tl/english/script.rpy	612	s "[what]"
s1scene0_cafbbbbd	s	You're in the visual novel 'Secret of the Royal School of Magic'. But here we'll be learning not only magic, but also a foreign language.	game/tl/english/script.rpy	618	s "[what]"
s1scene0_7b943fa7	s	Choose the language you want to learn.	game/tl/english/script.rpy	624	s "[what]"
s1scene0_2fa2c474	s	Какой язык ты хочешь изучать?	game/script.rpy	43	s "[what]" nointeract
s1scene0_1f1a0699	s	When you see a round button on the right, you can click it to translate the line. Let's try it.	game/tl/english/script.rpy	630	s "[what]"
s1scene0_c62ef993	s	Click this button on the right ———>	game/tl/english/script.rpy	636	s "[what]"
s1scene0_eba3091e	s	To return to the original text, click this button again.	game/tl/english/script.rpy	642	s "[what]"
s1scene0_347b541d	s	If you made a mistake with language selection, you can fix it in the 'Options' menu. And there you can also adjust the music volume.	game/tl/english/script.rpy	648	s "[what]"
s1scene0_135ea8fa	s	I think I've told you all the most important things. Somewhere here our story begins. Actually, it has already begun. Let's go.	game/tl/english/script.rpy	654	s "[what]"
s1scene1_bc1428ac	n	Radio announcer: The King has announced his marriage to the daughter of the Minister of Economy.	game/tl/english/script.rpy	660	n "[what]"
s1scene1_d3ee1e96	s	Our king is getting married again? Isn't it too late to get married at 98?	game/tl/english/script.rpy	666	s "[what]"
s1scene1_563f7550	d	He looks 35.	game/tl/english/script.rpy	672	d "[what]"
s1scene1_6d3f8902	s	Isn't that strange?	game/tl/english/script.rpy	678	s "[what]"
s1scene1_78021324	d	Many high-ranking officials look young and live long these days. They have completely different opportunities.	game/tl/english/script.rpy	684	d "[what]"
s1scene1_1f81289b	s	Dad, can you hear me? Wake up!	game/tl/english/script.rpy	690	s "[what]"
s1scene2_9de9b4e3	s	Call an ambulance, quickly! My father is unconscious.	game/tl/english/script.rpy	696	s "[what]"
s1scene2_0bea461c	sm	He looks strange. Why is he so pale? Was he injured too?	game/tl/english/script.rpy	702	sm "[what]"
s1scene2_2d1ed9f1	s	Block!!! Was he trying to erase my memory? What the hell!	game/tl/english/script.rpy	708	s "[what]"
s1scene2_0230d1dc	ds	What kind of magic is this? Where did you study?	game/tl/english/script.rpy	714	ds "[what]"
s1scene2_40b84a36	s	Give me the phone. I'll call the ambulance myself. Just try to use magic on us again!	game/tl/english/script.rpy	720	s "[what]"
s1scene2_7c1ad6b4	ds	No need for an ambulance, I'll handle everything myself.	game/tl/english/script.rpy	726	ds "[what]"
s1scene2_b3d0b3c0		He approached the driver's seat. Opened the door and touched my father's head. Father immediately regained consciousness. But the stranger staggered, leaned against the door and slid down onto the asphalt.	game/tl/english/script.rpy	732	"[what]"
s1scene2_63658c09	s	What's wrong with you? You're not drunk...	game/tl/english/script.rpy	738	s "[what]"
s1scene2_7a29f3f5	sm	Something's wrong with him. Something's wrong with his magic. His energy is unstable. Someone has accumulated his energy. This is always associated with forbidden techniques. Is he from a cult?	game/tl/english/script.rpy	744	sm "[what]"
s1scene2_b0ab7201		The stranger gathered his strength and stood up.	game/tl/english/script.rpy	750	"[what]"
s1scene2_ed7acaaf	ds	I'm sorry, I wasn't feeling well and lost control. Here's money for repairs and treatment if needed.	game/tl/english/script.rpy	756	ds "[what]"
s1scene2_2ca03b40	d	Wow! That's a lot of money! But why are you paying yourself? You have an expensive car. Don't you pay insurance?	game/tl/english/script.rpy	762	d "[what]"
s1scene2_0c7e7bb7	d	And you look strange. Are you drunk? Or drugs? In any case, we need to call the road service. You're lucky my son wasn't hurt.	game/tl/english/script.rpy	768	d "[what]"
s1scene2_83816f27	ds	Don't call. I have a good offer for you.	game/tl/english/script.rpy	774	ds "[what]"
s1scene2_b6e7f507	ds	Your son is clearly very talented. But without proper education, he'll only be able to play with magic for entertainment. And that will only create problems for him.	game/tl/english/script.rpy	780	ds "[what]"
s1scene2_84934e90	d	What does my son have to do with this? What are you getting at?	game/tl/english/script.rpy	786	d "[what]"
s1scene2_8dafac07	ds	I can get your son into the royal school of magic.	game/tl/english/script.rpy	792	ds "[what]"
s1scene2_f488300c	d	Royal school? That's impossible. Children from ordinary families don't get into this school.	game/tl/english/script.rpy	798	d "[what]"
s1scene2_fe99bb26	ds	I can make it happen.	game/tl/english/script.rpy	804	ds "[what]"
s1scene2_6e993a2e	d	Who are you?	game/tl/english/script.rpy	810	d "[what]"
s1scene2_908f3dc5	ds	I'll get your son into this school, and in return, you'll tell everyone you crashed into a pole. Even close people.	game/tl/english/script.rpy	816	ds "[what]"
s1scene2_bb8fec80	extend	 I'll tell you who I am if you agree to my condition.	game/tl/english/script.rpy	822	extend "[what]"
s1scene2_15e06fea	s	Dad, why should we believe him? People like him always fix everything with money and connections. Let's not take anything from him? Please. I have a bad feeling.	game/tl/english/script.rpy	828	s "[what]"
s1scene2_210cf0cc	ds	Young man, I see you're bold. But I advise you to always take what you're given. Especially today. Today fate is on your side.	game/tl/english/script.rpy	834	ds "[what]"
s1scene2_ab31312c	s	Fate is on our side because we weren't seriously hurt.	game/tl/english/script.rpy	840	s "[what]"
s1scene2_ca1b5a12	d	Provide guarantees.	game/tl/english/script.rpy	846	d "[what]"
s1scene2_3ffec94c	s	Dad!	game/tl/english/script.rpy	852	s "[what]"
s1scene2_77437088	ds	Alright, here's my business card.	game/tl/english/script.rpy	858	ds "[what]"
s1scene2_678f2f8f	d	Director of the royal school of magic... Seriously?	game/tl/english/script.rpy	864	d "[what]"
s1scene2_c4353635	s	Is this some new kind of scam?	game/tl/english/script.rpy	870	s "[what]"
s1scene2_b7535ac1	d	Okay, we'll think about it.	game/tl/english/script.rpy	876	d "[what]"
s1scene2_0bb5c59b	ds	Call me at the number on the card. The student lists will be finalized in three days. You should hurry.	game/tl/english/script.rpy	882	ds "[what]"
s1scene3_d52a3d61	s	I googled it. It really was the school director. But dad! He tried to erase my memory. That's forbidden magic!	game/tl/english/script.rpy	888	s "[what]"
s1scene3_17a8aff4	s	Let's not get involved with this person. He could easily set us up.	game/tl/english/script.rpy	894	s "[what]"
s1scene3_5896a8a0	s	He probably wasn't so scared because of a regular accident. I think he was afraid something worse would be revealed.	game/tl/english/script.rpy	900	s "[what]"
s1scene3_f1588cd4	d	What do you mean?	game/tl/english/script.rpy	906	d "[what]"
s1scene3_cab324fa	s	Maybe that day he committed a crime with black magic? Something was wrong with his energy.	game/tl/english/script.rpy	912	s "[what]"
s1scene3_1636bb25	d	Don't make things up! You're just very young and have a rich imagination. Why would the director of a magic school use forbidden magic.	game/tl/english/script.rpy	918	d "[what]"
s1scene3_1956d6f6	s	Who knows...	game/tl/english/script.rpy	924	s "[what]"
s1scene3_eacafd4a	d	Stop this. This is such an opportunity. This school opens doors to a completely different world. You'll be able to hold high positions, get a job at any company in the world. Your talent!	game/tl/english/script.rpy	930	d "[what]"
s1scene3_bc0f4813	s	I didn't study magic to build a career.	game/tl/english/script.rpy	936	s "[what]"
s1scene3_c75a7ac5	d	New laws come out every day, imposing restrictions on magic for people without a license. You're already 14, any carelessness and you could end up in prison.	game/tl/english/script.rpy	942	d "[what]"
s1scene3_742bb0e7	d	I've regretted so many times letting your grandmother teach you. But after studying at this school, you'll be able to use your abilities to their full extent.	game/tl/english/script.rpy	948	d "[what]"
s1scene4_d7667c44	s	I found a used school uniform.	game/tl/english/script.rpy	954	s "[what]"
s1scene4_dee5d554	d	Do rich people sell used things too?	game/tl/english/script.rpy	960	d "[what]"
s1scene4_29d9d3f5	s	I doubt it. I think they just throw them away, and the governesses sell them. Instead of tips.	game/tl/english/script.rpy	966	s "[what]"
s1scene4_5614c186	d	Oh, you're probably right. But I can buy you a new uniform.	game/tl/english/script.rpy	972	d "[what]"
s1scene4_3942038f	s	No need. I don't need all this showing off. Everyone will quickly find out I'm from an ordinary family anyway. I'm ordering it.	game/tl/english/script.rpy	978	s "[what]"
s1scene4_2a6e3109	d	You're probably worried about this. They won't be able to push you around. You'll manage. You only need to hold on for 4 years.	game/tl/english/script.rpy	984	d "[what]"
s1scene4_79f90ef8	s	I'm doing this because you want it so much.	game/tl/english/script.rpy	990	s "[what]"
s1scene5_42be8bc1	s	The school doors are locked with magic? So even the janitors in this school know the basics of magic? But this is a simple lock for me...	game/tl/english/script.rpy	996	s "[what]"
s1scene5_0b31451a	schoolgirl1	Look, a new student!	game/tl/english/script.rpy	1002	schoolgirl1 "[what]"
s1scene5_b866fbde	schoolgirl2	His uniform is clearly not new. And it's his first day today...	game/tl/english/script.rpy	1008	schoolgirl2 "[what]"
s1scene5_31730d7c	schoolgirl1	He bought a used uniform? Ugh, how horrible.	game/tl/english/script.rpy	1014	schoolgirl1 "[what]"
s1scene5_b540ed5f	schoolgirl2	And his shoes! Look at them! What is that? Some cheap replica? Has the school started accepting just anyone?	game/tl/english/script.rpy	1020	schoolgirl2 "[what]"
s1scene5_65b54577	sm	They could at least say this in a whisper. Don't they teach good manners at the royal school? Yes, great start...	game/tl/english/script.rpy	1026	sm "[what]"
s1scene5_e7c9ce25	extend	 But I didn't expect anything else from children of corrupt officials.	game/tl/english/script.rpy	1032	extend "[what]"
s1scene5_cdeb60ae	trainee	Hi, are you Sam?	game/tl/english/script.rpy	1038	trainee "[what]"
s1scene5_4b217025	s	Yes, that's me.	game/tl/english/script.rpy	1044	s "[what]"
s1scene5_356e00c1	trainee	I came to meet you. I'm doing my internship here. Come on, I'll give you everything you need. Are you nervous?	game/tl/english/script.rpy	1050	trainee "[what]"
s1scene5_4445f72d	s	Should I be?	game/tl/english/script.rpy	1056	s "[what]"
s1scene5_6c67bfc1	trainee	The children in this school are not simple. But their life isn't as easy as many think. When you get to know them better, you'll like them.	game/tl/english/script.rpy	1062	trainee "[what]"
s1scene5_66ef22dd	s	I highly doubt that.	game/tl/english/script.rpy	1068	s "[what]"
s1scene5_13018437	s	Is it difficult to study here?	game/tl/english/script.rpy	1074	s "[what]"
s1scene5_3588f278	trainee	I think it won't be difficult for you. I heard you have good magic skills.	game/tl/english/script.rpy	1080	trainee "[what]"
s1scene5_05b0a0fa	s	What? Am I already that popular?	game/tl/english/script.rpy	1086	s "[what]"
s1scene5_38e9ba03	trainee	Ha-ha. It's not every day we accept unknown newcomers.	game/tl/english/script.rpy	1092	trainee "[what]"
s1scene5_3bdac783	trainee	You can read about all the students in this school on the internet. Who their parents are, what brands they wear, what they did on the weekend.	game/tl/english/script.rpy	1098	trainee "[what]"
s1scene5_9d58bf77	extend	 But your appearance is shrouded in mystery.	game/tl/english/script.rpy	1104	extend "[what]"
s1scene5_b29ded56	s	I'm the director's secret illegitimate son.	game/tl/english/script.rpy	1110	s "[what]"
s1scene5_14ffe55b	trainee	What??? Really?	game/tl/english/script.rpy	1116	trainee "[what]"
s1scene5_510540d1	s	No, of course not.	game/tl/english/script.rpy	1122	s "[what]"
s1scene5_433ac1d8	sm	She's cute. And pretty. Maybe there will be something good in this school.	game/tl/english/script.rpy	1128	sm "[what]"
s1scene5_fd940708	s	What about you? I heard that all teachers in this school are graduates of elite schools and universities. So who are your parents?	game/tl/english/script.rpy	1134	s "[what]"
s1scene5_5e4faae9	trainee	My parents are ordinary people... But I really did study at this school.	game/tl/english/script.rpy	1140	trainee "[what]"
s1scene5_63413488	s	So I'm not the first non-elite student in this school?	game/tl/english/script.rpy	1146	s "[what]"
s1scene5_12124454	trainee	You're funny! 	game/tl/english/script.rpy	1152	trainee "[what]"
s1scene5_441f4716	extend	 I won a grant in honor of the king's ninetieth birthday. But how did you get here? Is it a secret?	game/tl/english/script.rpy	1158	extend "[what]"
s1scene5_ba49688c	s	I'll tell this secret only to you. My incredible talent and boundless charisma melted the director's cold heart, and he made a special exception for me.	game/tl/english/script.rpy	1164	s "[what]"
s1scene5_42ab8fab	trainee	Doesn't sound like the truth!	game/tl/english/script.rpy	1170	trainee "[what]"
s1scene5_7cbe694b	s	Maybe young handsome boys are his type.	game/tl/english/script.rpy	1176	s "[what]"
s1scene5_71a38c8c	trainee	Ugh! You better not joke like that.	game/tl/english/script.rpy	1182	trainee "[what]"
s1scene5_7e4d5364	trainee	We're here. Here's your school card. You can use it in the cafeteria.	game/tl/english/script.rpy	1188	trainee "[what]"
s1scene5_2a4ebf3e	extend	 Get your textbooks from the library after your first lesson. And here's a list of textbooks and materials you need to buy.	game/tl/english/script.rpy	1194	extend "[what]"
s1scene5_f151b4f8	s	Whew. I hope dad and I won't have to take out a loan.	game/tl/english/script.rpy	1200	s "[what]"
s1scene5_e144a4e9	trainee	Good luck, mysterious newcomer. Your first lesson is in room 313.	game/tl/english/script.rpy	1206	trainee "[what]"
s1scene6_13f68626	teacher	We have a new student in our class. Introduce yourself.	game/tl/english/script.rpy	1212	teacher "[what]"
s1scene6_165cfe7f	sm	They're untying my shoelaces, seriously? What childishness! Ooh. Someone's unzipping my fly? Ha! Not bad. I hope it's a girl doing it. Yes, it's definitely a girl. What a gentle telekinesis. Is this really bullying?	game/tl/english/script.rpy	1218	sm "[what]"
s1scene6_227100b4	n	Ha, ha, ha!!!	game/tl/english/script.rpy	1224	n "[what]"
s1scene6_3258fcf6	teacher	What are you doing? Stop it!	game/tl/english/script.rpy	1230	teacher "[what]"
s1scene6_b121f483	s	I don't think anyone here will bother remembering my name. 	game/tl/english/script.rpy	1236	s "[what]"
s1scene6_452c9f6a	sm	Hm. And what's that touching my back? Are they writing something on my back with chalk? 	game/tl/english/script.rpy	1242	sm "[what]"
s1scene6_61cba9e2	extend	 Okay, enough games! Focus! One, two, three... More concentration. Gather in the fingers. Ta-da.	game/tl/english/script.rpy	1248	extend "[what]"
s1scene6_79b1d36e	n	All the students instantly found themselves tied to chairs and desks by all the shoelaces and strings that were on their clothes.	game/tl/english/script.rpy	1254	n "[what]"
s1scene6_32481658	teacher	...	game/tl/english/script.rpy	1260	teacher "[what]"
s1scene6_f5ee3b41	student1	What the hell?	game/tl/english/script.rpy	1266	student1 "[what]"
s1scene6_54c63620	ps	Was he transferred from another magic school? Isn't he from the trash?	game/tl/english/script.rpy	1272	ps "[what]"
s1scene6_2eb65ef6	schoolgirl1	He won't get away with this!	game/tl/english/script.rpy	1278	schoolgirl1 "[what]"
s1scene6_a4ae059a	teacher	Samuel! Haven't you been told that magic in this school can't be used for fooling around?	game/tl/english/script.rpy	1284	teacher "[what]"
s1scene6_ef336809	s	Yes, I was told that. But apparently, they forgot to tell me that I'm the only one in this school who's forbidden to fool around with magic.	game/tl/english/script.rpy	1290	s "[what]"
s1scene6_6cf9cc8a	n	Class: Ha...	game/tl/english/script.rpy	1296	n "[what]"
s1scene6_119ce0b7	schoolgirl1	He's actually cool!	game/tl/english/script.rpy	1302	schoolgirl1 "[what]"
s1scene6_79b67f5b	s	Well. You're all thinking now that I'm not one of you. And that I'll never be one of you. Well, know this - I don't intend to be. And I'm not hoping we'll become friends. Let's just not bother each other.	game/tl/english/script.rpy	1308	s "[what]"
s1scene6_beffea09	student1	Who does he think he is! I'll put him in his place.	game/tl/english/script.rpy	1314	student1 "[what]"
s1scene6_340336d3	ps	(whispers) Teach him a lesson after classes today. And I'll treat you to a good steak.	game/tl/english/script.rpy	1320	ps "[what]"
s1scene6_2077e818	student1	Alright. I'll gather the guys. We'll shut up this upstart. It's beef steak, right?	game/tl/english/script.rpy	1326	student1 "[what]"
s1scene7_f81d6b51	sm	No matter how crappy the people in this school are, the lessons here are really on another level. It wasn't easy...	game/tl/english/script.rpy	1332	sm "[what]"
s1scene7_3aa2aed6	sm	Oh, they're already waiting for me. Didn't expect to become so interesting to them on the first day. 	game/tl/english/script.rpy	1338	sm "[what]"
s1scene7_d27223ff	n	Sam was thrown back several meters by a strong energy blast. He hit his back against the school fence. The magical protection of the fence sharply burned his back.	game/tl/english/script.rpy	1344	n "[what]"
s1scene7_fb9a8fdc	sm	Damn! That was unexpected!	game/tl/english/script.rpy	1350	sm "[what]"
s1scene7_e55505c3	s	Aren't bad guys supposed to give a long ceremonial speech before a fight?	game/tl/english/script.rpy	1356	s "[what]"
s1scene7_1e12a06c	ps	Hit him again! Seems he didn't get it the first time.	game/tl/english/script.rpy	1362	ps "[what]"
s1scene7_90cb61db	sm	This is clearly their leader. Familiar face. I definitely saw him when I was reading about the school. 	game/tl/english/script.rpy	1368	sm "[what]"
s1scene7_d5347582	sm	Gather all energy... Raise, concentrate, amplify. Take the power of stones. Is there metal nearby? The fence... Will do. Take the power of metal. Now into the eyes... Wall... Ready. Just don't blink.	game/tl/english/script.rpy	1374	sm "[what]"
s1scene7_f19a609e	student1	Three, two, one... Let's fry him!	game/tl/english/script.rpy	1380	student1 "[what]"
s1scene7_d46406da	n	The guys were hit by the reflected energy blast from the energy wall and scattered in different directions. 	game/tl/english/script.rpy	1386	n "[what]"
s1scene7_19c52c9f	student1	What is this? Black magic?	game/tl/english/script.rpy	1392	student1 "[what]"
s1scene7_2f4f9ee0	s	You're so bad you can't even tell black from white? 	game/tl/english/script.rpy	1398	s "[what]"
s1scene7_29a9deb3	sm	I remembered. He's the president's ninth son, his fourteenth child. 	game/tl/english/script.rpy	1404	sm "[what]"
s1scene7_304eb6c2	s	So this is how the president's children have fun. Great story for the news. 	game/tl/english/script.rpy	1410	s "[what]"
s1scene7_b74c63bd	ps	What, the three of you can't handle this trash? 	game/tl/english/script.rpy	1416	ps "[what]"
s1scene7_3e0bcf73	sm	Now is definitely not the time to blink! 	game/tl/english/script.rpy	1422	sm "[what]"
s1scene7_b59f63fe	sm	He managed to break through the wall... 	game/tl/english/script.rpy	1428	sm "[what]"
s1scene7_465b364c	s	Congratulations! You're not weak. 	game/tl/english/script.rpy	1434	s "[what]"
s1scene7_c0409f7c	sm	Did his friends hit simultaneously with him? This is definitely the energy of several people... 	game/tl/english/script.rpy	1440	sm "[what]"
s1scene7_91fc26d3	ps	What, scared? I'm being nice today. Just leave this school. And I'll forget about your existence. 	game/tl/english/script.rpy	1446	ps "[what]"
s1scene7_4db69b61	s	But you know, there's something strange. That was the energy of three different people. And it's not your friends. 	game/tl/english/script.rpy	1452	s "[what]"
s1scene7_87f1a1b7	ps	...	game/tl/english/script.rpy	1458	ps "[what]"
s1scene7_f91a471a	s	How did you obtain these energies?	game/tl/english/script.rpy	598	s "[what]"
s1scene7_7cbdfa7c	ps	What nonsense are you talking about? You think you can distinguish energy bases? You think anyone will check this? 	game/tl/english/script.rpy	1464	ps "[what]"
s1scene7_97921186	s	You still don't believe me? Okay. Come on, hit me again. 	game/tl/english/script.rpy	1470	s "[what]"
s1scene7_12797191	n	This time Sam was hit by an even stronger wave, he allowed it, but tried to soften the blow.	game/tl/english/script.rpy	1476	n "[what]"
s1scene7_7c1e9658	s	Thanks! Now I had time to figure it out.	game/tl/english/script.rpy	1482	s "[what]"
s1scene7_7c6f6ca8	s	One energy is from a young guy, kind and pure.	game/tl/english/script.rpy	1488	s "[what]"
s1scene7_2ba63c30	extend	One energy is from a middle-aged woman, she was in despair, all her energy consists of tears...	game/tl/english/script.rpy	1494	extend "[what]"
s1scene7_aa63cd47	extend	And also the energy of an adult man... Two of them clearly developed their energy not through licensed methods.	game/tl/english/script.rpy	1500	extend "[what]"
s1scene7_5c9929e0	sm	I instinctively reflected the attack. I needed to let the hit through to feel its energy. But it would be stupid to ask to be hit again. They'll think I want to become a punching bag.	game/tl/english/script.rpy	1506	sm "[what]"
s1scene7_debf5b9b	s	Those were definitely several different bases.	game/tl/english/script.rpy	1512	s "[what]"
s1scene7_6b810916	ps	Who are you? Who told you about this? I personally know everyone in this world who can distinguish energy bases. So there must be a rat among them...	game/tl/english/script.rpy	1518	ps "[what]"
s1scene7_fb564f0c	s	Obviously, you don't know everyone. Better stay away from me. Otherwise, I won't keep quiet.	game/tl/english/script.rpy	1524	s "[what]"
s1scene7_e0cfedfc	ps	Oh, and who will you tell? Your mommy? Though, I heard you don't have one. You won't last a month here. I'll do everything to get you expelled as soon as possible.	game/tl/english/script.rpy	1530	ps "[what]"
s1scene7_9d1a1d86	s	You've clearly been very interested in me. Even in my parents... I think now you're even more interested in me.	game/tl/english/script.rpy	1536	s "[what]"
s1scene8_9e7820a6	s	Dad, can someone take another person's energy basis for themselves?	game/tl/english/script.rpy	1542	s "[what]"
s1scene8_9df208ce	d	Do you think your mom died because you took her energy?	game/tl/english/script.rpy	1548	d "[what]"
s1scene8_0865c49b	d	Ah, you're growing up and, probably, you think I might have been lying to comfort a small child?	game/tl/english/script.rpy	1554	d "[what]"
s1scene8_1d4f3c9a	extend	 No one can take someone else's energy for themselves.	game/tl/english/script.rpy	1560	extend "[what]"
s1scene8_c4f65c53	s	Can someone intentionally give away their energy?	game/tl/english/script.rpy	1566	s "[what]"
s1scene8_740bbaf9	d	That's as impossible as stopping your own heart by willpower. Our life energy is part of us. No one can get rid of it on their own.	game/tl/english/script.rpy	1572	d "[what]"
s1scene8_8ae4101f	d	Believe me, it was all accidental. Your mom wanted to support your life force with her energy, but at that moment her heart stopped.	game/tl/english/script.rpy	1578	d "[what]"
s1scene8_2384bfce	s	So if you kill someone while they're using their energy, you can get their energy for yourself?	game/tl/english/script.rpy	1584	s "[what]"
s1scene8_51831ef8	d	What terrible questions you're asking.	game/tl/english/script.rpy	1590	d "[what]"
s1scene8_1fc6186c	s	Still.	game/tl/english/script.rpy	1596	s "[what]"
s1scene8_a61e2fd8	d	People with two energies are so rare that many consider their existence a myth.	game/tl/english/script.rpy	1602	d "[what]"
s1scene8_5280ee68	d	I asked your grandmother how this could happen. She thought the energy transferred to you because you had just been born, and your own energy hadn't completely separated from your mom's yet.	game/tl/english/script.rpy	1608	d "[what]"
s1scene8_8e45be3b	s	But I'm not the first child in the world whose mother died after childbirth.	game/tl/english/script.rpy	1614	s "[what]"
s1scene8_e3fd6198	d	Not the first. But your mom could support others' life energy, just like your grandmother. It's a very rare skill.	game/tl/english/script.rpy	1620	d "[what]"
s1scene8_b2bcf729	d	I think that, possibly, in the whole world only they two truly possessed this ability.	game/tl/english/script.rpy	1626	d "[what]"
s1scene8_70c7abbe	d	The rest are just frauds. So the world probably doesn't know of any other similar cases.	game/tl/english/script.rpy	1632	d "[what]"
s1scene8_f844fe56	s	The world doesn't know about my case either.	game/tl/english/script.rpy	1638	s "[what]"
s1scene8_0862df83	d	That's for your sake. I told you how much they bothered your mom, trying to convince her to work in the king's life and health preservation team.	game/tl/english/script.rpy	1644	d "[what]"
s1scene8_f53f17d2	d	More precisely, it's hard to call it work. They force people to serve them, they threaten them.	game/tl/english/script.rpy	1650	d "[what]"
s1scene8_86590d1c	d	I'm sure you don't need that.	game/tl/english/script.rpy	1656	d "[what]"
s1scene8_9072c041	s	They threatened her?	game/tl/english/script.rpy	1662	s "[what]"
s1scene8_a27763e8	d	I didn't express myself correctly. They know how to manipulate.	game/tl/english/script.rpy	1668	d "[what]"
s1scene8_70513d0b	s	So I have to hide my double energy all my life?	game/tl/english/script.rpy	1674	s "[what]"
s1scene8_bfbac530	d	You can decide for yourself. You don't have to hide it. But if anyone finds out, they'll definitely have questions for you.	game/tl/english/script.rpy	1680	d "[what]"
s1scene8_ab591cdb	d	But when you finish this school, you can get a license. And then you'll never have to justify your abilities again.	game/tl/english/script.rpy	1686	d "[what]"
s1scene8_510f23ea	d	And you know that I'm very glad you survived? I never thought you were to blame for mom's death.	game/tl/english/script.rpy	1692	d "[what]"
s1scene8_319bbd16	s	I know... But in your place, I would think differently. Thank you.	game/tl/english/script.rpy	1698	s "[what]"
